fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-08-17,18 de Marzo B,Tejas,Tejas,30,512,3334,11418
2015-08-19,18 de Marzo B,Tejas,Tejas,30,128,636,2944
2015-08-19,18 de Marzo B,Tejas,Tejas,31,372,2227,7812
2015-08-21,18 de Marzo B,Tejas,Tejas,31,499,3109,10230
2015-08-24,18 de Marzo B,Tejas,Tejas,31,428,2755,9288
2015-08-26,18 de Marzo B,Tejas,Tejas,31,47,273,1034
2015-08-26,18 de Marzo B,Tejas,Tejas,32,387,2385,8437
2015-08-27,18 de Marzo B,Tejas,Tejas,32,263,1719,5602
2015-08-28,18 de Marzo B,Tejas,Tejas,32,529,3255,10845
2015-09-01,18 de Marzo B,Tejas,Tejas,32,370,2315,8214
2015-09-01,18 de Marzo B,Tejas,Tejas,33,299,1906,6189
2015-09-02,18 de Marzo B,Tejas,Tejas,33,293,2043,6007